Yr,Mn,Date,CO2,seasonally_adjusted,fit,seasonally_adjusted_fit,CO2_filled,seasonally_adjusted_filled
1958,01,1958.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,02,1958.1260,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,03,1958.2027,315.71,314.44,316.19,314.91,315.71,314.44
1958,04,1958.2877,317.45,315.16,317.30,314.99,317.45,315.16
1958,05,1958.3699,317.51,314.70,317.87,315.07,317.51,314.70
1958,06,1958.4548,-99.99,-99.99,317.25,315.15,317.25,315.15
1958,07,1958.5370,315.86,315.20,315.86,315.22,315.86,315.20
1958,08,1958.6219,314.93,316.20,313.98,315.29,314.93,316.20
1958,09,1958.7068,313.21,316.10,312.45,315.35,313.21,316.10
1958,10,1958.7890,-99.99,-99.99,312.44,315.41,312.44,315.41
1958,11,1958.8740,313.33,315.20,313.61,315.46,313.33,315.20
1958,12,1958.9562,314.67,315.44,314.76,315.51,314.67,315.44
1959,01,1959.0411,315.58,315.52,315.64,315.57,315.58,315.52
1959,02,1959.1260,316.49,315.85,316.28,315.63,316.49,315.85
1959,03,1959.2027,316.65,315.38,316.98,315.69,316.65,315.38
1959,04,1959.2877,317.72,315.42,318.09,315.77,317.72,315.42
1959,05,1959.3699,318.29,315.48,318.66,315.85,318.29,315.48
1959,06,1959.4548,318.15,316.02,318.05,315.94,318.15,316.02
1959,07,1959.5370,316.54,315.87,316.67,316.03,316.54,315.87
1959,08,1959.6219,314.80,316.08,314.81,316.12,314.80,316.08
1959,09,1959.7068,313.84,316.74,313.30,316.22,313.84,316.74
1959,10,1959.7890,313.33,316.33,313.33,316.31,313.33,316.33
1959,11,1959.8740,314.81,316.69,314.54,316.39,314.81,316.69
1959,12,1959.9562,315.58,316.35,315.72,316.48,315.58,316.35
1960,01,1960.0410,316.43,316.38,316.62,316.56,316.43,316.38
1960,02,1960.1257,316.98,316.34,317.29,316.64,316.98,316.34
1960,03,1960.2049,317.58,316.28,318.03,316.72,317.58,316.28
1960,04,1960.2896,319.03,316.70,319.14,316.79,319.03,316.70
1960,05,1960.3716,320.04,317.21,319.69,316.87,320.04,317.21
1960,06,1960.4563,319.58,317.47,319.02,316.93,319.58,317.47
1960,07,1960.5383,318.18,317.53,317.59,316.98,318.18,317.53
1960,08,1960.6230,315.90,317.21,315.67,317.02,315.90,317.21
1960,09,1960.7077,314.17,317.09,314.11,317.05,314.17,317.09
1960,10,1960.7896,313.83,316.83,314.09,317.08,313.83,316.83
1960,11,1960.8743,315.00,316.88,315.25,317.11,315.00,316.88
1960,12,1960.9563,316.19,316.96,316.39,317.15,316.19,316.96
1961,01,1961.0411,316.89,316.84,317.27,317.20,316.89,316.84
1961,02,1961.1260,317.70,317.06,317.92,317.26,317.70,317.06
1961,03,1961.2027,318.54,317.26,318.63,317.33,318.54,317.26
1961,04,1961.2877,319.48,317.16,319.75,317.41,319.48,317.16
1961,05,1961.3699,320.58,317.75,320.34,317.50,320.58,317.75
1961,06,1961.4548,319.77,317.63,319.72,317.59,319.77,317.63
1961,07,1961.5370,318.56,317.89,318.32,317.68,318.56,317.89
1961,08,1961.6219,316.79,318.08,316.44,317.77,316.79,318.08
1961,09,1961.7068,314.99,317.90,314.91,317.85,314.99,317.90
1961,10,1961.7890,315.31,318.32,314.92,317.92,315.31,318.32
1961,11,1961.8740,316.10,318.00,316.12,317.99,316.10,318.00
1961,12,1961.9562,317.01,317.78,317.30,318.06,317.01,317.78
1962,01,1962.0411,317.94,317.88,318.19,318.13,317.94,317.88
1962,02,1962.1260,318.55,317.90,318.85,318.19,318.55,317.90
1962,03,1962.2027,319.68,318.40,319.55,318.26,319.68,318.40
1962,04,1962.2877,320.57,318.24,320.67,318.32,320.57,318.24
1962,05,1962.3699,321.02,318.17,321.23,318.39,321.02,318.17
1962,06,1962.4548,320.62,318.47,320.58,318.45,320.62,318.47
1962,07,1962.5370,319.61,318.94,319.15,318.51,319.61,318.94
1962,08,1962.6219,317.40,318.70,317.23,318.56,317.40,318.70
1962,09,1962.7068,316.24,319.17,315.66,318.60,316.24,319.17
1962,10,1962.7890,315.42,318.44,315.63,318.64,315.42,318.44
1962,11,1962.8740,316.69,318.59,316.80,318.68,316.69,318.59
1962,12,1962.9562,317.70,318.48,317.96,318.72,317.70,318.48
1963,01,1963.0411,318.74,318.68,318.83,318.76,318.74,318.68
1963,02,1963.1260,319.06,318.42,319.47,318.81,319.06,318.42
1963,03,1963.2027,319.86,318.57,320.16,318.86,319.86,318.57
1963,04,1963.2877,321.38,319.05,321.26,318.91,321.38,319.05
1963,05,1963.3699,322.25,319.39,321.82,318.96,322.25,319.39
1963,06,1963.4548,321.48,319.32,321.15,319.01,321.48,319.32
1963,07,1963.5370,319.74,319.06,319.71,319.06,319.74,319.06
1963,08,1963.6219,317.77,319.07,317.77,319.10,317.77,319.07
1963,09,1963.7068,316.21,319.15,316.19,319.14,316.21,319.15
1963,10,1963.7890,315.99,319.02,316.16,319.19,315.99,319.02
1963,11,1963.8740,317.07,318.97,317.35,319.23,317.07,318.97
1963,12,1963.9562,318.35,319.13,318.51,319.27,318.35,319.13
1964,01,1964.0410,319.57,319.52,319.39,319.32,319.57,319.52
1964,02,1964.1257,-99.99,-99.99,320.03,319.37,320.03,319.37
1964,03,1964.2049,-99.99,-99.99,320.74,319.41,320.74,319.41
1964,04,1964.2896,-99.99,-99.99,321.83,319.45,321.83,319.45
1964,05,1964.3716,322.25,319.39,322.35,319.49,322.25,319.39
1964,06,1964.4563,321.89,319.75,321.65,319.53,321.89,319.75
1964,07,1964.5383,320.44,319.79,320.18,319.56,320.44,319.79
1964,08,1964.6230,318.69,320.02,318.22,319.58,318.69,320.02
