Date,Open,High,Low,Close,Volume
19-Jul-2017,20.03,20.21,19.83,20.12,13469807
18-Jul-2017,19.76,19.99,19.41,19.98,15554456
17-Jul-2017,19.80,20.24,19.73,19.94,24152845
14-Jul-2017,19.35,19.97,19.33,19.64,20835473
13-Jul-2017,19.54,19.67,19.08,19.32,17517365
12-Jul-2017,18.92,19.54,18.91,19.25,30008052
11-Jul-2017,18.14,18.66,18.10,18.64,18110911
10-Jul-2017,18.05,18.15,17.78,18.08,8606718
7-Jul-2017,18.00,18.34,17.97,18.02,13433882
6-Jul-2017,17.65,18.58,17.63,17.92,18661111
5-Jul-2017,17.68,17.96,17.42,17.82,8816038
3-Jul-2017,17.94,18.01,17.41,17.65,9040399
30-Jun-2017,17.66,18.08,17.47,17.87,13427025
29-Jun-2017,17.93,17.94,17.23,17.65,18796467
28-Jun-2017,18.22,18.24,17.75,17.95,17396147
27-Jun-2017,18.43,18.60,18.12,18.12,14748853
26-Jun-2017,18.55,19.01,18.11,18.29,17421403
23-Jun-2017,18.15,18.63,18.15,18.50,24821433
22-Jun-2017,17.85,18.38,17.66,18.15,20734456
21-Jun-2017,17.11,18.04,17.11,17.78,23734826
20-Jun-2017,17.15,17.15,16.84,16.91,8524617
19-Jun-2017,16.77,17.08,16.75,17.06,11318878
16-Jun-2017,16.75,16.81,16.55,16.67,9939429
15-Jun-2017,16.53,16.89,16.46,16.83,11890455
14-Jun-2017,17.05,17.13,16.57,16.76,12660518
13-Jun-2017,17.12,17.22,16.76,16.97,13224916
12-Jun-2017,16.73,17.19,16.27,17.04,20518301
9-Jun-2017,17.65,17.66,16.45,16.90,21306172
8-Jun-2017,17.44,17.61,17.27,17.59,10550528
7-Jun-2017,17.62,17.74,17.30,17.44,15866228
6-Jun-2017,18.10,18.15,17.47,17.57,22811819
5-Jun-2017,18.29,18.34,18.02,18.23,10576479
2-Jun-2017,18.53,18.58,18.22,18.31,9383147
1-Jun-2017,18.22,18.66,18.20,18.53,13178576
31-May-2017,18.48,18.60,18.08,18.32,17417178
30-May-2017,18.21,18.72,18.18,18.43,18190729
26-May-2017,17.99,18.30,17.95,18.23,10459358
25-May-2017,18.04,18.27,17.94,17.95,9577563
24-May-2017,18.10,18.34,17.83,17.98,15565326
23-May-2017,18.41,18.51,17.98,18.15,16838535
22-May-2017,18.35,18.52,18.27,18.43,11378262
19-May-2017,18.68,18.90,18.27,18.35,16157833
18-May-2017,18.17,18.61,17.97,18.51,19888987
17-May-2017,18.99,19.25,18.22,18.28,30110458
16-May-2017,19.38,19.78,19.09,19.49,35728080
15-May-2017,18.69,19.32,18.63,19.23,22617484
12-May-2017,18.45,19.05,18.34,18.61,22043972
11-May-2017,18.63,18.74,18.31,18.39,12475401
10-May-2017,18.37,18.56,18.25,18.54,9993885
9-May-2017,18.31,18.49,18.20,18.37,12509720
8-May-2017,18.68,18.68,18.16,18.31,18963259
5-May-2017,18.45,18.72,18.37,18.69,15064320
4-May-2017,18.60,18.89,18.36,18.48,24615089
3-May-2017,18.37,18.60,18.15,18.57,29810339
2-May-2017,17.57,18.53,17.35,18.24,64567849
1-May-2017,17.14,17.65,16.97,17.54,47458301
28-Apr-2017,16.50,16.79,16.43,16.48,26563886
27-Apr-2017,15.80,16.63,15.80,16.61,41158088
26-Apr-2017,15.90,16.48,15.76,15.82,79309104
25-Apr-2017,14.71,14.96,14.63,14.66,20508038
24-Apr-2017,14.70,14.82,14.56,14.71,12779234
21-Apr-2017,14.65,14.75,14.41,14.63,13788561
20-Apr-2017,14.58,14.75,14.51,14.65,9557311
